customer_id,age,income,city,membership,orders,satisfaction,churn
CUST-0001,56,64112.45,Delhi,Basic,7,4,0
CUST-0002,69,42871.32,Mumbai,Silver,10,5,0
CUST-0003,46,73544.21,Bangalore,Gold,6,3,0
CUST-0004,32,51234.78,Pune,Basic,9,4,1
CUST-0005,60,39210.11,Jaipur,Silver,5,2,0
CUST-0006,,68421.55,Delhi,Basic,8,4,0
CUST-0007,25,47123.89,Mumbai,Gold,12,5,0
CUST-0008,38,59321.44,Bangalore,Platinum,4,3,1
CUST-0009,51,82451.23,Pune,Basic,11,4,0
CUST-0010,44,52111.67,Jaipur,Silver,6,3,0
CUST-0011,29,61234.55,Delhi,Basic,8,4,0
CUST-0012,63,,Mumbai,Silver,7,5,0
CUST-0013,41,48321.90,Bangalore,Basic,9,3,0
CUST-0014,22,45123.21,Pune,Gold,13,5,1
CUST-0015,57,76234.88,Jaipur,Basic,5,2,0
CUST-0016,35,53891.42,Delhi,Silver,10,4,0
CUST-0017,,49231.76,Mumbai,Basic,6,3,0
CUST-0018,48,68123.33,Bangalore,Gold,8,4,0
CUST-0019,27,72111.45,Pune,Silver,14,5,0
CUST-0020,66,38912.76,Jaipur,Basic,3,2,1
CUST-0021,39,55321.12,,Basic,8,3,0
CUST-0022,52,61234.67,Delhi,Silver,7,4,0
CUST-0023,31,47891.23,Mumbai,Gold,11,5,0
CUST-0024,45,63412.98,Bangalore,Basic,9,4,0
CUST-0025,19,42123.44,Pune,Silver,5,2,1
CUST-0026,58,71321.77,Jaipur,Basic,10,4,0
CUST-0027,34,58234.11,Delhi,Gold,12,5,0
CUST-0028,47,49621.33,Mumbai,Basic,6,3,0
CUST-0029,62,83214.56,Bangalore,Platinum,15,5,0
CUST-0030,28,45123.90,Pune,Silver,7,3,1
CUST-0031,43,62111.22,Jaipur,Basic,8,4,0
CUST-0032,37,53421.65,Delhi,Silver,9,4,0
CUST-0033,55,72123.87,Mumbai,Gold,6,5,0
CUST-0034,24,,Bangalore,Basic,5,2,1
CUST-0035,68,39122.54,Pune,Silver,4,2,0
CUST-0036,33,56789.12,Jaipur,Basic,10,4,0
CUST-0037,49,68321.45,Delhi,Gold,8,5,0
CUST-0038,21,41234.67,Mumbai,Basic,6,3,1
CUST-0039,59,75123.88,Bangalore,Silver,9,4,0
CUST-0040,40,52311.76,Pune,Basic,7,3,0
