sepal_length,sepal_width,petal_length,petal_width,species,constant_column
5.1,3.5,1.4,0.2,setosa,1
4.9,3.0,1.4,0.2,setosa,1
4.7,3.2,1.3,0.2,setosa,1
4.6,,1.5,0.2,setosa,1
5.0,3.6,1.4,0.2,setosa,1
5.4,3.9,1.7,0.4,setosa,1
4.6,3.4,1.4,0.3,setosa,1
5.0,3.4,1.5,0.2,setosa,1
5.4,-3.7,1.5,0.2,setosa,1
4.4,2.9,1.4,0.2,setosa,1
5.0,3.4,1.6,0.2,setosa,1
5.4,3.4,1.5,0.4,setosa,1
4.8,3.0,1.4,0.1,setosa,1
4.8,3.0,1.4,0.1,setosa,1
5.7,3.8,1.7,0.3,setosa,1
6.0,2.2,4.0,1.0,versicolor,1
6.1,2.8,4.0,1.3,versicolor,1
5.6,2.5,3.9,1.1,versicolor,1
5.5,2.4,3.7,1.0,versicolor,1
5.5,2.4,3.8,1.1,versicolor,1
